S.No,Topic,Subtopic,Level,Question,question_image,Options (JSON),Solution (Correct Option Number),Explanation,image_url
60.0,Inequalities,Quadratic Inequalities,hard,For what set of real values of the parameter `k` does the inequality shown in the image hold true for all real values of `x`?,Quadratic Inequalities_1766423717817.png,"{""1"":""k ? (-8, -3) ? (1, 8)"",""2"":""k ? (-8, -3) ? [1, 8)"",""3"":""k ? (-3, -1)"",""4"":""k ? (-8, -1) ? (1, 8)""}",2.0,"Let the given inequality be f(x) > 0, where f(x) = (k^2 - 1)x^2 + 2(k - 1)x + 2.

To have this inequality hold for all real x, we must consider two cases based on the coefficient of x^2.

Case 1: The coefficient of x^2 is zero.
This occurs when k^2 - 1 = 0, which means k = 1 or k = -1.
If k = 1, the inequality becomes 0*x^2 + 2(1 - 1)x + 2 > 0, which simplifies to 2 > 0. This is always true. Thus, k = 1 is part of the solution set.
If k = -1, the inequality becomes 0*x^2 + 2(-1 - 1)x + 2 > 0, which simplifies to -4x + 2 > 0, or x < 1/2. This is not true for all real values of x, so k = -1 is not a solution.

Case 2: The coefficient of x^2 is not zero.
For a quadratic expression Ax^2 + Bx + C to be always positive, two conditions must be met: the parabola must open upwards (A > 0) and it must not have real roots (Discriminant D < 0).

Condition (a): The coefficient of x^2 must be positive.
A = k^2 - 1 > 0 implies (k - 1)(k + 1) > 0. This inequality holds for k < -1 or k > 1. So, k ? (-8, -1) ? (1, 8).

Condition (b): The discriminant must be negative.
D = B^2 - 4AC < 0.
Here, A = k^2 - 1, B = 2(k - 1), C = 2.
D = (2(k - 1))^2 - 4(k^2 - 1)(2) = 4(k - 1)^2 - 8(k^2 - 1)
D = 4(k^2 - 2k + 1) - 8k^2 + 8 = 4k^2 - 8k + 4 - 8k^2 + 8 = -4k^2 - 8k + 12.
We need D < 0, so -4k^2 - 8k + 12 < 0. Dividing by -4 and reversing the inequality sign, we get k^2 + 2k - 3 > 0.
Factoring the quadratic, we get (k + 3)(k - 1) > 0. This inequality holds for k < -3 or k > 1. So, k ? (-8, -3) ? (1, 8).

For the quadratic case to hold, both conditions (a) and (b) must be satisfied. We find the intersection of their solution sets:
Intersection of {k ? (-8, -1) ? (1, 8)} and {k ? (-8, -3) ? (1, 8)} is k ? (-8, -3) ? (1, 8).

Finally, we combine the solutions from both Case 1 and Case 2. The total set of values for k is the union of the solution from the linear case {1} and the solution from the quadratic case (-8, -3) ? (1, 8). The union is k ? (-8, -3) ? [1, 8).

Option 1 is incorrect because it is the solution for the quadratic case only and omits the valid linear case where k = 1.
Option 3 is incorrect. It would be obtained by incorrectly solving the discriminant inequality k^2 + 2k - 3 > 0 as -3 < k < 1, and then intersecting this with k < -1 from the first condition, yielding (-3, -1).
Option 4 is incorrect because it represents the solution to only the first condition (A > 0) and ignores the discriminant condition (D < 0).",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Quadratic_Inequalities_1766423717817.png?
61.0,Inequalities,Inequalities on Number Line,easy,Which number is a part of the solution set for the inequality shown in the image?,Inequalities on Number Line_1766423785059.png,"{""1"":""-3"",""2"":""0"",""3"":""-4"",""4"":""4""}",3.0,"The correct option is 3.

The inequality shown in the image is x = -4. This statement means that 'x' can be any number that is less than or equal to -4. On a number line, this corresponds to the point -4 and all points to its left.

Option 1, -3, is incorrect. On a number line, -3 is to the right of -4, which means -3 is greater than -4. It does not satisfy the inequality.

Option 2, 0, is incorrect. 0 is to the right of -4 on the number line, so it is greater than -4 and does not satisfy the inequality.

Option 3, -4, is correct. The 'or equal to' part of the '=' symbol means that -4 itself is included in the solution set. The statement -4 = -4 is true.

Option 4, 4, is incorrect. 4 is a positive number and is much greater than -4, so it does not satisfy the inequality.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Inequalities_on_Number_Line_1766423785059.png?
62.0,Inequalities,Inequalities on Number Line,medium,A variable 'x' must satisfy both inequalities shown in the image. How many integer values of 'x' satisfy both conditions simultaneously?,Inequalities on Number Line_1766423817801.png,"{""1"":""6"",""2"":""5"",""3"":""7"",""4"":""9""}",1.0,"First, let's analyze each inequality to find the set of integers it represents.

The first inequality is approximately -3.67 < x = 5. The integers that satisfy this condition are {-3, -2, -1, 0, 1, 2, 3, 4, 5}.

The second inequality is -2 = x < 3.25. The integers that satisfy this condition are {-2, -1, 0, 1, 2, 3}.

The question asks for the integers that satisfy BOTH conditions. This means we need to find the intersection of the two sets of integers. The common integers are {-2, -1, 0, 1, 2, 3}. Counting these integers, we find there are 6 such values. Therefore, 6 is the correct answer.

Option 2, 5, is incorrect. This would be the result if one mistakenly treated the condition -2 = x as -2 < x, thus excluding -2 from the final set.

Option 3, 7, is incorrect. This could be obtained by incorrectly interpreting -11/3 < x as x = -3, which would incorrectly include -3 in the final set of common integers {-3, -2, -1, 0, 1, 2, 3}.

Option 4, 9, is incorrect. This is the total number of integers satisfying only the first inequality (-3, -2, -1, 0, 1, 2, 3, 4, 5) and completely ignores the constraint imposed by the second inequality.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Inequalities_on_Number_Line_1766423817801.png?
63.0,Inequalities,Inequalities on Number Line,hard,"Set P is the solution set for the compound inequality shown in the image. Set Q consists of all integers `y` such that `y` is in the interval `[-4, 10)` but `y` is not in Set P. What is the sum of all the elements in Set Q?",Inequalities on Number Line_1766423865271.png,"{""1"":""44"",""2"":""-9"",""3"":""39"",""4"":""54""}",1.0,"Option 1 is correct. First, we need to find the solution set P by solving the two linear inequalities.

For the first inequality: `(3x - 7) / 4 < x - 5`. Multiplying by 4 gives `3x - 7 < 4x - 20`. Rearranging the terms, we get `13 < x`, or `x > 13`.

For the second inequality: `2(x + 1) >= 5x - 1`. Expanding the left side gives `2x + 2 >= 5x - 1`. Rearranging the terms, we get `3 >= 3x`, which simplifies to `1 >= x`, or `x <= 1`.

Since the compound inequality uses the word 'OR', Set P is the union of these two solutions. On a number line, Set P includes all numbers less than or equal to 1, and all numbers greater than 13. So, `P = (-8, 1] U (13, 8)`.

The question asks for integers `y` that are NOT in Set P. This corresponds to the complement of Set P on the number line, which is the interval between 1 and 13. Since P includes 1 (`x <= 1`) and excludes 13 (`x > 13`), the complement is `(1, 13]`.

Set Q consists of integers `y` that are in the interval `[-4, 10)` and also in the interval `(1, 13]`. We need to find the integers in the intersection of these two sets. The integers in `[-4, 10)` are `{-4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9}`. The integers in `(1, 13]` are `{2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13}`. The common integers, which form Set Q, are `{2, 3, 4, 5, 6, 7, 8, 9}`.

The sum of the elements in Set Q is `2 + 3 + 4 + 5 + 6 + 7 + 8 + 9 = 44`.

Option 2 is incorrect. -9 is the sum of integers that are IN Set P and also in `[-4, 10)`. These integers are `{-4, -3, -2, -1, 0, 1}`, which sum to -9. This is the opposite of what was asked.
Option 3 is incorrect. 39 is the sum of all integers in the initial range `[-4, 10)`, which are `{-4, -3, ..., 9}`. This would be the answer if Set P was empty, which is not the case.
Option 4 is incorrect. 54 is obtained if one incorrectly includes 10 in the final set of integers (e.g., by misinterpreting `[-4, 10)` as `[-4, 10]`) and adds it to the correct sum: `44 + 10 = 54`.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Inequalities_on_Number_Line_1766423865271.png?
64.0,Inequalities,Inequality Word Problems,easy,A movie theater has a maximum capacity of 250 people. Let 'p' represent the number of people in the theater. Which inequality correctly represents the number of people allowed in the theater at any given time?,no image,"{""1"":""p > 250"",""2"":""p < 250"",""3"":""p = 250"",""4"":""p = 250""}",4.0,"The correct option is 4. The phrase 'maximum capacity of 250' means that the number of people, 'p', can be 250 or any number less than 250. This condition is correctly represented by the inequality 'p = 250', which reads as 'p is less than or equal to 250'.

Option 1, p > 250, is incorrect as it represents having more than 250 people, which exceeds the maximum capacity. Option 2, p < 250, is incorrect because it excludes the possibility of the theater being exactly at its maximum capacity of 250 people. Option 3, p = 250, is incorrect as it represents having 250 or more people, which violates the capacity limit.",
65.0,Inequalities,Inequality Word Problems,medium,"A company manufactures a widget with a fixed monthly cost of $12,000. The production cost for each widget is $40, and it is sold for $90. The company's goal is to achieve a monthly profit that is at least $8,000 but strictly less than $23,000. What is the maximum number of widgets the company can produce and sell to stay within this profit range?",no image,"{""1"":""400"",""2"":""699"",""3"":""700"",""4"":""399""}",2.0,"Let 'x' be the number of widgets produced and sold.
The total revenue is the selling price per widget multiplied by the number of widgets: R(x) = 90x.
The total cost is the sum of the fixed cost and the total variable cost: C(x) = 12000 + 40x.
The profit, P(x), is the difference between total revenue and total cost: P(x) = R(x) - C(x) = 90x - (12000 + 40x) = 50x - 12000.

The problem states that the profit must be at least $8,000 but strictly less than $23,000. This can be written as the compound inequality:
8000 = P(x) < 23000
Substitute the expression for profit:
8000 = 50x - 12000 < 23000

To solve for x, first add 12,000 to all parts of the inequality:
8000 + 12000 = 50x < 23000 + 12000
20000 = 50x < 35000

Next, divide all parts by 50:
20000 / 50 = x < 35000 / 50
400 = x < 700

The inequality shows that the number of widgets, x, must be greater than or equal to 400 and strictly less than 700. The question asks for the maximum number of widgets. Since x must be an integer and less than 700, the maximum possible integer value for x is 699.

Option 1 (400) is incorrect because it represents the minimum number of widgets required, not the maximum.
Option 3 (700) is incorrect because the profit must be strictly less than $23,000, which means x must be strictly less than 700. Selling 700 widgets would result in a profit of exactly $23,000, which is not allowed.
Option 4 (399) is incorrect. This would be the result if one made an off-by-one error on the lower bound, or miscalculated the range.",
66.0,Inequalities,Inequality Word Problems,hard,"An advertising agency is planning a campaign for a client. The plan involves purchasing TV ad slots, represented by `t`, and Radio ad slots, represented by `r`. Both `t` and `r` must be non-negative integers. The campaign is subject to a set of constraints on budget, audience reach, and platform mix, which are defined by the system of inequalities shown in the image. What is the minimum number of Radio ad slots (`r`) that the agency must purchase to satisfy all conditions?",Inequality Word Problems_1766423999037.png,"{""1"":""6"",""2"":""7"",""3"":""8"",""4"":""9""}",3.0,"The correct answer is 8. To find the minimum value of `r`, we must analyze the given system of inequalities:
1) `3t + r <= 30`
2) `5t + 2r >= 40`
3) `t >= 4`
4) `2r >= 3t`

We need to find a feasible region for `r` by expressing `t` in terms of `r` from each inequality.
From (1): `3t <= 30 - r` => `t <= (30 - r) / 3`
From (2): `5t >= 40 - 2r` => `t >= (40 - 2r) / 5`
From (3): `t >= 4`
From (4): `t <= 2r / 3`

For a solution for `t` to exist, the lower bound for `t` must be less than or equal to the upper bound for `t`. The lower bound is the maximum of the two individual lower bounds, and the upper bound is the minimum of the two individual upper bounds.
So, `max(4, (40 - 2r) / 5) <= t <= min((30 - r) / 3, 2r / 3)`.

This implies that the maximum of the lower bounds must be less than or equal to the minimum of the upper bounds. This gives us four conditions to satisfy:
a) `4 <= (30 - r) / 3` => `12 <= 30 - r` => `r <= 18`
b) `4 <= 2r / 3` => `12 <= 2r` => `r >= 6`
c) `(40 - 2r) / 5 <= (30 - r) / 3` => `120 - 6r <= 150 - 5r` => `-30 <= r` (always true since `r` must be non-negative)
d) `(40 - 2r) / 5 <= 2r / 3` => `120 - 6r <= 10r` => `120 <= 16r` => `r >= 7.5`

Combining all conditions on `r`: we need `r >= 6`, `r >= 7.5`, and `r <= 18`. The most restrictive combination is `7.5 <= r <= 18`. Since `r` must be an integer, the minimum possible value for `r` is 8. To confirm, if `r = 8`, the inequality for `t` becomes `max(4, 4.8) <= t <= min(7.33, 5.33)`, which simplifies to `4.8 <= t <= 5.33`. The integer `t=5` satisfies this, so a solution exists for `r=8`.

Option 1 (6) is incorrect because `r=6` violates the condition `r >= 7.5`. If `r=6`, there is no integer `t` that satisfies all conditions.
Option 2 (7) is incorrect because `r=7` also violates the condition `r >= 7.5`. This is a common error if one rounds 7.5 down.
Option 4 (9) is incorrect because while `r=9` is a possible value (it allows for integer solutions for `t`), it is not the minimum possible value. The question specifically asks for the minimum.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Inequality_Word_Problems_1766423999037.png?
67.0,Inequalities,Inequalities with Modulus,easy,Find the range of values for x that satisfies the inequality shown in the image.,Inequalities with Modulus_1766424030231.png,"{""1"":""2 < x < 8"",""2"":""x < 2 or x > 8"",""3"":""-8 < x < -2"",""4"":""-2 < x < 8""}",1.0,"The correct option is 1.

The given inequality is |x - 5| < 3. According to the properties of modulus inequalities, an inequality of the form |A| < B is equivalent to -B < A < B. Applying this rule, we get -3 < x - 5 < 3. To find the range for x, we need to isolate x in the middle. We can do this by adding 5 to all three parts of the inequality: -3 + 5 < x - 5 + 5 < 3 + 5. This simplifies to 2 < x < 8.

Option 2 is incorrect. The range 'x < 2 or x > 8' is the solution for the inequality |x - 5| > 3, which is a common mistake of applying the wrong rule.

Option 3 is incorrect. The range '-8 < x < -2' would be the result if one mistakenly solved the inequality |x + 5| < 3, which is not the given problem.

Option 4 is incorrect. This range likely arises from a calculation error when solving for the lower bound, for instance, calculating 3 - 5 instead of -3 + 5, which would incorrectly yield -2.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Inequalities_with_Modulus_1766424030231.png?
68.0,Inequalities,Inequalities with Modulus,medium,Find the complete solution set for x that satisfies the inequality shown.,Inequalities with Modulus_1766424065448.png,"{""1"":""$x \\in [-6, 0] \\cup [10, 16]$"",""2"":""$x \\in [0, 10]$"",""3"":""$x \\in [-6, 16]$"",""4"":""$x \\in [-6, 0]$""}",1.0,"The correct option is 1.

The given inequality is $||x - 5| - 8| \le 3$. Based on the property $|y| \le a \iff -a \le y \le a$, we can rewrite this as: $-3 \le |x - 5| - 8 \le 3$. Adding 8 to all parts of the inequality gives: $5 \le |x - 5| \le 11$. This is a compound inequality that can be broken into two separate conditions: (i) $|x - 5| \ge 5$ and (ii) $|x - 5| \le 11$. For (i), $|x - 5| \ge 5$ implies $x - 5 \ge 5$ or $x - 5 \le -5$, which gives $x \ge 10$ or $x \le 0$. This solution is $(-\infty, 0] \cup [10, \infty)$. For (ii), $|x - 5| \le 11$ implies $-11 \le x - 5 \le 11$, which gives $-6 \le x \le 16$. This solution is $[-6, 16]$. The final solution is the intersection of these two sets. The intersection of $(-\infty, 0] \cup [10, \infty)$ and $[-6, 16]$ is $[-6, 0] \cup [10, 16]$.

Option 2 is incorrect. This range, $[0, 10]$, is obtained by incorrectly solving the inequality $|x - 5| \ge 5$ as $|x - 5| \le 5$, which is a common mistake.

Option 3 is incorrect. The range $[-6, 16]$ is the solution to only one part of the compound inequality, $|x - 5| \le 11$. It fails to account for the second condition, $|x - 5| \ge 5$.

Option 4 is incorrect. The range $[-6, 0]$ is only one of the two intervals that make up the complete solution. It omits the second interval, $[10, 16]$.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Inequalities_with_Modulus_1766424065448.png?
69.0,Inequalities,Inequalities with Modulus,hard,Consider the inequality shown in the image. What is the sum of all integer values of 'x' for which this inequality holds true?,Inequalities with Modulus_1766424129569.png,"{""1"":""8"",""2"":""10"",""3"":""7"",""4"":""3""}",1.0,"1 is the correct option.
The given inequality is | |x - 3| - 5 | / |x - 2| > 1. First, we must note that the denominator cannot be zero, so x ? 2. We can multiply both sides by |x - 2| (since it is non-negative and not zero) to get | |x - 3| - 5 | > |x - 2|.

Since both sides of the inequality are non-negative, we can square both sides: ( |x - 3| - 5 )² > (x - 2)². Rearranging this gives ( |x - 3| - 5 )² - (x - 2)² > 0. Using the difference of squares formula a² - b² = (a - b)(a + b), we get:
( |x - 3| - 5 - (x - 2) ) * ( |x - 3| - 5 + (x - 2) ) > 0
( |x - 3| - x - 3 ) * ( |x - 3| + x - 7 ) > 0

We now solve this by considering two cases for |x - 3|:
Case 1: x = 3. In this case, |x - 3| = x - 3.
The inequality becomes: ( (x - 3) - x - 3 ) * ( (x - 3) + x - 7 ) > 0, which simplifies to (-6) * (2x - 10) > 0. Dividing by -6 and reversing the inequality sign gives 2x - 10 < 0, so 2x < 10, and x < 5. The solution for this case, intersecting x = 3 with x < 5, is [3, 5). The integers in this interval are 3 and 4.

Case 2: x < 3. In this case, |x - 3| = -(x - 3) = 3 - x.
The inequality becomes: ( (3 - x) - x - 3 ) * ( (3 - x) + x - 7 ) > 0, which simplifies to (-2x) * (-4) > 0. This gives 8x > 0, so x > 0. The solution for this case, intersecting x < 3 with x > 0, is (0, 3).

Combining the solutions from both cases, we get the interval [3, 5) U (0, 3). We must remember the initial condition that x ? 2. So the final solution set is (0, 2) U (2, 5). The integers in this set are 1, 3, and 4. The sum of these integers is 1 + 3 + 4 = 8.

Option 2, 10, is incorrect; it results from incorrectly including x = 2 in the solution set (1 + 2 + 3 + 4). Option 3, 7, is incorrect; it is the sum of integers from only Case 1 (3 + 4), ignoring the solutions from Case 2. Option 4, 3, is incorrect; it could be obtained by considering only Case 2 and incorrectly including x=2 (1+2).",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Inequalities_with_Modulus_1766424129569.png?
,,,,,,,,,
,,,,,,,,,
